category,message,uz-UZ,oz-UZ,ru-RU,en-US,kk-UZ,tg-TG,kz-KZ,tm-TM,kg-KG
app,#,№,№,№,,,,,,
app,1-bosqich,1-bosqich,1-босқич,1-год,,,,,,
app,"1-ON, 2-ON, ...; 1-JN, 2-JN, ..., 1-qaydnoma, 2-qaydnoma,...","1-ON, 2-ON, ...; 1-JN, 2-JN, ..., 1-qaydnoma, 2-qaydnoma,...","1-ОН, 2-ОН, ...; 1-ЖН, 2-ЖН, ..., 1-қайднома, 2-қайднома,...","1-ПК, 2-ПК, ...; 1-ТК, 2-ТК, ..., 1-ведомость, 2-ведомость,...",,,,,,
app,"1-qaydnoma, 2-qaydnoma,...","1-qaydnoma, 2-qaydnoma,...","1-қайднома, 2-қайднома,...","1-ведомость, 2-ведомость,...",,,,,,
app,2-bosqich,2-bosqich,2-босқич,2-год,,,,,,
app,2-resubmission,1-QT,1-ҚТ,1-ПС,,,,,,
app,3-bosqich,3-bosqich,3-босқич,3-год,,,,,,
app,3-resubmission,2-QT,2-ҚТ,2-ПС,,,,,,
app,"About HEI",Muassasa,Муассаса,Учреждение,,,,,,
app,"Absent off",Sababsiz,Сабабсиз,Неуважительное,,,,,,
app,"Absent Off",Sababsiz,Сабабсиз,Неуваж.,,,,,,
app,"Absent Off Percent",Foiz,Фоиз,Процент,Percent,,,,,
app,"Absent On",Sababli,Сабабли,Уваж.,,,,,,
app,"Academic Data Status","Akademik ma'lumot statusi","Академик маълумот статуси","Статус академической информации","Academic Data Status",,,,,
app,"Academic Debt","Akad. qarz","Акад. қарз","Акад. задол.","Acad. Debt",,,,,
app,"Academic Degree","Ilmiy daraja","Илмий даража","Ученая степень",,,,,,
app,"Academic Degrees","O'qituvchi ilmiy darajasi","Ўқитувчи илмий даражаси","Ученая степень преподавателя","Teacher Academic Degrees",,,,,
app,"Academic Information","Akad. ma'lumotnoma","Акад. маълумотнома","Акад. справка","Academic Information",,,,,
app,"Academic Information Data","Akademik ma'lumotnoma parametrlari","Академик маълумотнома параметрлари","Параметры академической справки","Parametrs of Academic Sheet",,,,,
app,"Academic Information Data Education Form Name","Hozirgi OTMdagi ta'lim shakli","Ҳозирги ОТМдаги таълим шакли","Вид обучения в данном вузе","Education Form in this HEI",,,,,
app,"Academic Information Decree","Chetlashtirish buyrig'i","Четлаштириш буйруғи","Приказ об отчислении","Student expel order",,,,,
app,"Academic information for {name} created successfully","{name} uchun ilmiy ma'lumotlar muvaffaqiyatli yaratildi","{name} учун илмий маълумотлар муваффақиятли яратилди","Научная информация для {name} создана успешно","Scientific information for {name} created successfully",,,,,
app,"Academic information for {name} updated successfully","{name} ning ilmiy ma'lumotlari muvaffaqiyatli o'zgartirildi","{name} нинг илмий маълумотлари муваффақиятли ўзгартирилди","Научная информация для {name} успешно обновлена","Scientific information of {name} updated successfully",,,,,
app,"Academic Information [{id}] created successfully","Akademik ma'lumotnoma [{id}] muvaffaqiyatli yaratildi","Академик маълумотнома [{id}] муваффақиятли яратилди","Академическая справка [{id}] успешно создана","Academic Information [{id}] created successfully",,,,,
app,"Academic information of {name} deleted successfully","{name} ning ilmiy ma'lumotlari muvaffaqiyatli o'chirildi","{name} нинг илмий маълумотлари муваффақиятли ўчирилди","Научная информация для {name} успешно удалена","Scientific information of {name} deleted successfully",,,,,
app,"Academic leave","Akademik ta'til","Академик таътил","Академический отпуск",,,,,,
app,"Academic Load","Akademik yuklama","Академик юклама","Академическая нагрузка",,,,,,
app,"Academic Number","Blank qarami","Бланк рақами","Номер бланка","Blank Number",,,,,
app,"Academic Rank","Ilmiy unvon","Илмий унвон","Ученое звание",,,,,,
app,"Academic record","Akademik yozuv","Академик ёзув","Академическая запись",,,,,,
